codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,nombre_comuna_eno,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,nombre_comuna_grd,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,log_pop_total,schooling_gap
13301,Colina,173293.0,149378.0,22498.0,13.09,33.0,35.0,12.61,12.78,59.95,70.0,45.82,Colina,1259,576,174,509,Parotiditis | VIH | Sifilis,72.65,Colina,14742,12697,2045,13.87,5.88,6.06,4.72,1.41,2.04,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99)",850.7,12.062739082504752,-0.16999999999999993
13302,Lampa,145160.0,125486.0,18608.0,12.8,32.0,33.0,12.165,12.308,64.7,72.7,0.446,Lampa,672,390,93,189,VIH | Parotiditis | Sifilis,46.29,Lampa,8057,6984,1073,13.32,5.99,6.23,4.47,1.42,2.02,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99),555.04,11.885591861327006,-0.14300000000000068
13401,San Bernardo,306371.0,284663.0,19544.0,6.38,34.0,33.0,11.6,12.24,60.81,71.16,45.28,San Bernardo,2172,1129,149,894,"PAROTIDITIS, SIN COMPLICACIONES, no aplica, TOS FERINA, NO ESPECIFICADA",70.89443844228076,San Bernardo,44506,42580,1926,4.33,6.01,6.04,5.52,1.47,2.35,"EMBARAZO, PARTO Y PUERPERIO, ENFERMEDADES DEL APARATO DIGESTIVO, LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS",1452.68,12.632552064849632,-0.6400000000000006
13402,Buin,116969.0,110229.0,5960.0,5.0953671485607295,34.0,34.0,12.185436165190104,13.374942209893666,63.13281795243464,72.90721649484536,46.35211390963802,Buin,551,251,34,266,Parotiditis | VIH | Coqueluche,47.11,Buin,15457,14669,788,5.1,5.576291079812207,5.603302373581012,5.086142322097379,1.488645920941968,2.95658924759008,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1321.4612418675033,11.669664221407558,-1.1895060447035615
13403,Calera de Tango,25491.0,24430.0,898.0,3.52,37.0,35.0,11.97,12.04,60.39,72.7,45.97,Calera de Tango,84,62,11,11,"no aplica, PAROTIDITIS, SIN COMPLICACIONES, HEPATITIS VIRAL TIPO B CRONICA, SIN AGENTE DELTA",32.952806873014005,Calera de Tango,1539,1502,37,2.4,7.22,7.24,6.43,1.75,2.6,"LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS, ENFERMEDADES DEL APARATO RESPIRATORIO, ENFERMEDADES DEL APARATO DIGESTIVO",603.74,10.14608072767165,-0.06999999999999851
13404,Paine,78828.0,72865.0,5963.0,7.564570964631858,36.0,31.0,11.101812763844052,11.780655828051804,60.77520654363106,67.07342730906795,47.58757559304263,Paine,390,185,74,131,VIH | Parotiditis | Coqueluche,53.6,Paine,11428,10437,991,8.67,5.57,5.66,4.65,1.46,3.01,Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada | Catarata | no especificada,1570.66,11.275023542680474,-0.6788430642077525
13501,Melipilla,136325.0,124407.0,11069.0,8.17,37.0,30.0,11.07,11.26,58.93,74.38,50.48,Melipilla,824,387,245,192,VIH | Chagas | Parotiditis,60.44,Melipilla,29404,26882,2522,8.58,4.98,5.09,3.89,1.23,2.23,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",2156.9,11.822797019794262,-0.1899999999999995
13502,Alhué,7768.0,6871.0,879.0,11.34,37.0,28.0,10.6,11.38,63.78,77.52,51.0,Alhué,28,14,9,5,Chagas | VIH | Parotiditis,36.04531410916581,Alhué,900,793,107,11.89,5.64,5.8,4.46,1.28,2.333,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1158.6,8.957768009971161,-0.7800000000000011
13503,CURACAVÍ,34977.0,33517.0,1460.0,4.174171598479,38.0,35.0,11.494169857292029,13.097132284921368,60.37599093997736,70.32312925170068,50.32233109850438,CURACAVÍ,165,107,14,44,VIH | Sifilis | Parotiditis,47.1739,CURACAVÍ,5216,5064,152,2.91,6.49,6.54,4.82,1.4,2.93,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1483.29,10.462445981601402,-1.6029624276293397
13504,María Pinto,15352.0,14996.0,319.0,2.08,38.0,31.0,10.6,11.46,61.08,69.2,52.0,María Pinto,32,24,4,4,VIH | Parotiditis | Chagas,20.844189682126107,María Pinto,1683,1630,53,3.15,4.78,4.83,3.11,1.2,1.664,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1096.3,9.639001037687535,-0.8600000000000012
13505,San Pedro,11108.0,9808.0,1260.0,11.343176089305006,40.0,29.0,9.734945120142392,9.659767141009056,60.40290620871862,75.82417582417582,56.82620358605111,San Pedro,731,19,19,0,Dato Faltante,609.1666666666666,San Pedro,1355,0,0,0.0,4.900369003690037,0.0,0.0,0.0,1.5498154981549817,Dato Faltante,1129.1666666666667,9.31542084842669,0.07517797913333624
13601,Talagante,76429.0,71322.0,4559.0,6.01,36.0,32.0,11.83,12.26,59.75,69.74,46.76,Talagante,314,186,32,96,VIH | Parotiditis | Chagas,41.08,Talagante,12342,11754,588,4.76,6.46,6.53,5.09,1.63,2.6,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1614.83,11.244117484283745,-0.4299999999999997
13602,El Monte,37497.0,36404.0,915.0,2.45,36.0,34.0,10.9,12.53,60.75,69.14,50.0,El Monte,146,93,18,35,VIH | Parotiditis | Sifilis,38.93644824919327,El Monte,4114,4015,99,2.41,5.95,5.98,4.66,1.62,2.552,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",1097.2,10.532016208758332,-1.629999999999999
13603,Isla de Maipo,39274.0,37775.0,1332.0,3.391556755105159,37.0,31.0,11.147838050314466,12.256438969764838,59.30163973103693,72.28915662650603,0.475634040954349,Isla de Maipo,115,67,11,37,"VIH, Parotiditis, Sifilis",29.28145847125325,Isla de Maipo,2059,1989,70,3.3997085964060223,5.699854298203011,5.733534439416792,4.742857142857143,1.6192326372025254,1.6027197668771247,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.14  ENFERMEDADES DEL APARATO GENITOURINARIO (N00-N99)",524.2654173244385,10.578318001310176,-1.1086009194503728
13604,Padre Hurtado,81243.0,75497.0,5296.0,6.518715458562584,34.0,33.0,12.115747903265206,13.170451509484373,65.16893340088072,73.95402298850576,45.12084025507743,Padre Hurtado,337,206,44,0,Dato Faltante,51.84615384615385,Padre Hurtado,4764,0,0,0.0,6.111880772460117,0.0,0.0,0.0,1.910159529806885,Dato Faltante,732.923076923077,11.305199942634374,-1.0547036062191673
13605,Peñaflor,94402.0,90616.0,3235.0,3.426834177242008,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394,Peñaflor,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72,Peñaflor,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12,11.45531753834984,-1.012384228917261
